date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:23:28	12876/12876	---M--	200	added ('OK')	text/css	date:Thu,%2015%20Jun%202023%2012:29:16%20GMT	https://iswaracreative.com/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6	C:/My%20Web%20Sites/wed1/iswaracreative.com/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from https://iswaracreative.com/art-02/)
20:23:29	11339/11339	---M--	200	added ('OK')	text/css	date:Thu,%2015%20Jun%202023%2012:44:57%20GMT	https://iswaracreative.com/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min.css?ver=3.13.2	C:/My%20Web%20Sites/wed1/iswaracreative.com/wp-content/plugins/elementor-pro/assets/css/frontend-lite.min2e9d.css	(from https://iswaracreative.com/art-02/)
20:23:29	13217/13217	---M--	200	added ('OK')	text/css	date:Tue,%2021%20Nov%202023%2007:22:21%20GMT	https://iswaracreative.com/wp-content/plugins/weddingpress/assets/css/wdp.css?ver=3.1.7	C:/My%20Web%20Sites/wed1/iswaracreative.com/wp-content/plugins/weddingpress/assets/css/wdp9dfc.css	(from https://iswaracreative.com/art-02/)
20:23:30	77804/77804	---M--	200	added ('OK')	text/css	date:Tue,%2018%20Jul%202023%2005:21:57%20GMT	https://iswaracreative.com/wp-content/uploads/elementor/css/global.css?ver=1689657717	C:/My%20Web%20Sites/wed1/iswaracreative.com/wp-content/uploads/elementor/css/global5d41.css	(from https://iswaracreative.com/art-02/)
20:23:30	57912/57912	---M--	200	added ('OK')	text/css	date:Thu,%2015%20Jun%202023%2012:29:16%20GMT	https://iswaracreative.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/My%20Web%20Sites/wed1/iswaracreative.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://iswaracreative.com/art-02/)
20:23:30	675/675	---M--	200	added ('OK')	text/css	date:Thu,%2015%20Jun%202023%2012:29:16%20GMT	https://iswaracreative.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.15.3	C:/My%20Web%20Sites/wed1/iswaracreative.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min52d5.css	(from https://iswaracreative.com/art-02/)
20:23:30	103314/103314	---M--	200	added ('OK')	text/css	date:Sat,%2009%20Dec%202023%2015:26:06%20GMT	https://iswaracreative.com/wp-content/uploads/elementor/css/post-36885.css?ver=1702135566	C:/My%20Web%20Sites/wed1/iswaracreative.com/wp-content/uploads/elementor/css/post-368855001.css	(from https://iswaracreative.com/art-02/)
20:23:30	221088/221088	---M--	200	added ('OK')	text/css	date:Tue,%2021%20Nov%202023%2007:22:21%20GMT	https://iswaracreative.com/wp-content/plugins/weddingpress/assets/css/guest-book.css?ver=3.1.7	C:/My%20Web%20Sites/wed1/iswaracreative.com/wp-content/plugins/weddingpress/assets/css/guest-book9dfc.css	(from https://iswaracreative.com/art-02/)
20:23:30	669/669	---M--	200	added ('OK')	text/css	date:Thu,%2015%20Jun%202023%2012:29:16%20GMT	https://iswaracreative.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/My%20Web%20Sites/wed1/iswaracreative.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://iswaracreative.com/art-02/)
20:23:30	677/677	---M--	200	added ('OK')	text/css	date:Thu,%2015%20Jun%202023%2012:29:16%20GMT	https://iswaracreative.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.15.3	C:/My%20Web%20Sites/wed1/iswaracreative.com/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min52d5.css	(from https://iswaracreative.com/art-02/)
20:23:31	13577/13577	---M--	200	added ('OK')	application/javascript	date:Wed,%2009%20Aug%202023%2013:36:02%20GMT	https://iswaracreative.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/wed1/iswaracreative.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://iswaracreative.com/art-02/)
20:23:31	838/838	---M--	200	added ('OK')	application/javascript	date:Wed,%2011%20Jan%202023%2006:41:42%20GMT	https://iswaracreative.com/wp-content/plugins/template-undangan/public/js/template-undangan-public.js?ver=1.0.3	C:/My%20Web%20Sites/wed1/iswaracreative.com/wp-content/plugins/template-undangan/public/js/template-undangan-public4bf4.js	(from https://iswaracreative.com/art-02/)
20:23:31	87553/87553	---M--	200	added ('OK')	application/javascript	date:Wed,%2008%20Nov%202023%2008:32:05%20GMT	https://iswaracreative.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/wed1/iswaracreative.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://iswaracreative.com/art-02/)
20:23:32	53370/53370	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Oct%202023%2004:22:39%20GMT	https://iswaracreative.com/wp-content/uploads/2023/10/ornament-waterflower4-4-300x137.png	C:/My%20Web%20Sites/wed1/iswaracreative.com/wp-content/uploads/2023/10/ornament-waterflower4-4-300x137.png	(from https://iswaracreative.com/art-02/)
20:23:32	115829/115829	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Oct%202023%2015:19:03%20GMT	https://iswaracreative.com/wp-content/uploads/2023/10/contoh-bali-9.jpg	C:/My%20Web%20Sites/wed1/iswaracreative.com/wp-content/uploads/2023/10/contoh-bali-9.jpg	(from https://iswaracreative.com/art-02/)
20:23:32	67217/67217	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Oct%202023%2015:19:02%20GMT	https://iswaracreative.com/wp-content/uploads/2023/10/contoh-bali-11.jpg	C:/My%20Web%20Sites/wed1/iswaracreative.com/wp-content/uploads/2023/10/contoh-bali-11.jpg	(from https://iswaracreative.com/art-02/)
20:23:32	35192/35192	---M--	200	added ('OK')	image/jpeg	date:Sat,%2014%20Oct%202023%2015:19:01%20GMT	https://iswaracreative.com/wp-content/uploads/2023/10/contoh-bali-1.jpg	C:/My%20Web%20Sites/wed1/iswaracreative.com/wp-content/uploads/2023/10/contoh-bali-1.jpg	(from https://iswaracreative.com/art-02/)
20:23:32	9921/9921	---M--	200	added ('OK')	text/css	date:Thu,%2015%20Jun%202023%2012:29:16%20GMT	https://iswaracreative.com/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	C:/My%20Web%20Sites/wed1/iswaracreative.com/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	(from https://iswaracreative.com/art-02/)
20:23:33	37744/37744	---M--	200	added ('OK')	image/png	date:Mon,%2009%20Oct%202023%2004:22:39%20GMT	https://iswaracreative.com/wp-content/uploads/2023/10/ornament-waterflower4-4.png	C:/My%20Web%20Sites/wed1/iswaracreative.com/wp-content/uploads/2023/10/ornament-waterflower4-4.png	(from https://iswaracreative.com/art-02/)
